23126556,000190101027,3,0,0,"",7:20:00,7:21:00
23126556,000220902007,4,0,0,"",7:24:00,7:27:00
23126556,000220903011,5,0,0,"",7:31:00,7:32:00
23126556,000400000053,6,1,1,"",7:35:00,7:35:00
23126556,000400000070,7,0,0,"",7:39:00,7:39:00
23126539,000400000070,0,0,0,"",7:50:00,7:50:00
23126539,000400000053,1,1,1,"",7:55:00,7:55:00
23126539,000220903011,2,0,0,"",7:58:00,8:00:00
23126539,000220902007,3,0,0,"",8:03:00,8:04:00
23126539,000190101027,4,0,0,"",8:07:00,8:09:00
23126539,000190301004,5,0,0,"",8:13:00,8:15:00
23126539,000200415014,6,0,0,"",8:22:00,8:24:00
23126539,000200405060,7,0,0,"",8:27:00,8:27:00
23126555,000200405060,0,0,0,"",7:34:00,7:34:00
23126555,000200415014,1,0,0,"",7:36:00,7:37:00
23126555,000190301004,2,0,0,"",7:44:00,7:46:00
23126555,000190101027,3,0,0,"",7:50:00,7:51:00
23126555,000220902007,4,0,0,"",7:54:00,7:57:00
23126555,000220903011,5,0,0,"",8:01:00,8:02:00
23126555,000400000053,6,1,1,"",8:05:00,8:05:00
23126555,000400000070,7,0,0,"",8:09:00,8:09:00
23126538,000400000070,0,0,0,"",8:20:00,8:20:00
23126538,000400000053,1,1,1,"",8:25:00,8:25:00
23126538,000220903011,2,0,0,"",8:28:00,8:30:00
23126538,000220902007,3,0,0,"",8:33:00,8:34:00
23126538,000190101027,4,0,0,"",8:37:00,8:39:00
23126538,000190301004,5,0,0,"",8:43:00,8:45:00
23126538,000200415014,6,0,0,"",8:52:00,8:54:00
23126538,000200405060,7,0,0,"",8:57:00,8:57:00
23126554,000200405060,0,0,0,"",8:04:00,8:04:00
23126554,000200415014,1,0,0,"",8:06:00,8:07:00
23126554,000190301004,2,0,0,"",8:14:00,8:16:00
23126554,000190101027,3,0,0,"",8:20:00,8:21:00
23126554,000220902007,4,0,0,"",8:24:00,8:27:00
23126554,000220903011,5,0,0,"",8:31:00,8:32:00
23126554,000400000053,6,1,1,"",8:35:00,8:35:00
23126554,000400000070,7,0,0,"",8:39:00,8:39:00
23126537,000400000070,0,0,0,"",8:50:00,8:50:00
23126537,000400000053,1,1,1,"",8:55:00,8:55:00
23126537,000220903011,2,0,0,"",8:58:00,9:00:00
23126537,000220902007,3,0,0,"",9:03:00,9:04:00
23126537,000190101027,4,0,0,"",9:07:00,9:09:00
23126537,000190301004,5,0,0,"",9:13:00,9:15:00
23126537,000200415014,6,0,0,"",9:22:00,9:24:00
23126537,000200405060,7,0,0,"",9:27:00,9:27:00
23126553,000200405060,0,0,0,"",12:04:00,12:04:00
23126553,000200415014,1,0,0,"",12:06:00,12:07:00
23126553,000190301004,2,0,0,"",12:14:00,12:16:00
23126553,000190101027,3,0,0,"",12:20:00,12:21:00
23126553,000220902007,4,0,0,"",12:24:00,12:27:00
23126553,000220903011,5,0,0,"",12:31:00,12:32:00
23126553,000400000053,6,1,1,"",12:35:00,12:35:00
23126553,000400000070,7,0,0,"",12:39:00,12:39:00
23126536,000400000070,0,0,0,"",13:20:00,13:20:00
23126536,000400000053,1,1,1,"",13:25:00,13:25:00
23126536,000220903011,2,0,0,"",13:28:00,13:30:00
23126536,000220902007,3,0,0,"",13:33:00,13:34:00
23126536,000190101027,4,0,0,"",13:37:00,13:39:00
23126536,000190301004,5,0,0,"",13:43:00,13:45:00
23126536,000200415014,6,0,0,"",13:52:00,13:54:00
23126536,000200405060,7,0,0,"",13:57:00,13:57:00
23126552,000200405060,0,0,0,"",12:34:00,12:34:00
23126552,000200415014,1,0,0,"",12:36:00,12:37:00
23126552,000190301004,2,0,0,"",12:44:00,12:46:00
23126552,000190101027,3,0,0,"",12:50:00,12:51:00
23126552,000220902007,4,0,0,"",12:54:00,12:57:00
23126552,000220903011,5,0,0,"",13:01:00,13:02:00
23126552,000400000053,6,1,1,"",13:05:00,13:05:00
23126552,000400000070,7,0,0,"",13:09:00,13:09:00
23126535,000400000070,0,0,0,"",13:50:00,13:50:00
23126535,000400000053,1,1,1,"",13:55:00,13:55:00
23126535,000220903011,2,0,0,"",13:58:00,14:00:00
23126535,000220902007,3,0,0,"",14:03:00,14:04:00
23126535,000190101027,4,0,0,"",14:07:00,14:09:00
23126535,000190301004,5,0,0,"",14:13:00,14:15:00
23126535,000200415014,6,0,0,"",14:22:00,14:24:00
23126535,000200405060,7,0,0,"",14:27:00,14:27:00
23126551,000200405060,0,0,0,"",16:04:00,16:04:00
23126551,000200415014,1,0,0,"",16:06:00,16:07:00
23126551,000190301004,2,0,0,"",16:14:00,16:16:00
23126551,000190101027,3,0,0,"",16:20:00,16:21:00
23126551,000220902007,4,0,0,"",16:24:00,16:27:00
23126551,000220903011,5,0,0,"",16:31:00,16:32:00
23126551,000400000053,6,1,1,"",16:35:00,16:35:00
23126551,000400000070,7,0,0,"",16:39:00,16:39:00
23126534,000400000070,0,0,0,"",16:50:00,16:50:00
23126534,000400000053,1,1,1,"",16:55:00,16:55:00
23126534,000220903011,2,0,0,"",16:58:00,17:00:00
23126534,000220902007,3,0,0,"",17:03:00,17:04:00
23126534,000190101027,4,0,0,"",17:07:00,17:09:00
23126534,000190301004,5,0,0,"",17:13:00,17:15:00
23126534,000200415014,6,0,0,"",17:22:00,17:24:00
23126534,000200405060,7,0,0,"",17:27:00,17:27:00
23126550,000200405060,0,0,0,"",16:34:00,16:34:00
23126550,000200415014,1,0,0,"",16:36:00,16:37:00
23126550,000190301004,2,0,0,"",16:44:00,16:46:00
23126550,000190101027,3,0,0,"",16:50:00,16:51:00
23126550,000220902007,4,0,0,"",16:54:00,16:57:00
23126550,000220903011,5,0,0,"",17:01:00,17:02:00
23126550,000400000053,6,1,1,"",17:05:00,17:05:00
23126550,000400000070,7,0,0,"",17:09:00,17:09:00
23126533,000400000070,0,0,0,"",17:20:00,17:20:00
23126533,000400000053,1,1,1,"",17:25:00,17:25:00
23126533,000220903011,2,0,0,"",17:28:00,17:30:00
23126533,000220902007,3,0,0,"",17:33:00,17:34:00
23126533,000190101027,4,0,0,"",17:37:00,17:39:00
23126533,000190301004,5,0,0,"",17:43:00,17:45:00
23126533,000200415014,6,0,0,"",17:52:00,17:54:00
23126533,000200405060,7,0,0,"",17:57:00,17:57:00
23126549,000200405060,0,0,0,"",17:04:00,17:04:00
23126549,000200415014,1,0,0,"",17:06:00,17:07:00
23126549,000190301004,2,0,0,"",17:14:00,17:16:00
23126549,000190101027,3,0,0,"",17:20:00,17:21:00
23126549,000220902007,4,0,0,"",17:24:00,17:27:00
23126549,000220903011,5,0,0,"",17:31:00,17:32:00
23126549,000400000053,6,1,1,"",17:35:00,17:35:00
